Latitude,Longitude,District,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
8.25,77.0,Kanyakumari,Tamil Nadu,2.83,0.0,0.33,1.93,20.65,1.28,4.1,1.72,5.86,9.57,19.38,1.31
8.25,77.25,Kalkulam,Tamil Nadu,2.34,0.0,0.65,2.42,14.76,2.97,3.87,1.14,4.05,11.23,16.42,3.59
8.25,77.5,Thovalai,Tamil Nadu,5.2,0.0,1.53,1.02,6.7,0.17,1.47,0.4,2.06,7.72,11.59,1.67
8.25,77.75,Radhapuram,Tamil Nadu,6.62,0.0,1.15,0.8,3.59,0.58,0.76,0.37,1.13,6.94,13.39,1.49
8.5,76.75,Kanyakumari,Tamil Nadu,2.84,0.03,1.68,3.48,26.05,3.65,7.32,5.8,7.56,14.76,14.29,0.97
8.5,77.0,Thiruvananthapuram,Kerala,2.95,0.03,0.98,2.38,19.47,2.6,4.94,2.35,6.48,15.17,21.79,1.63
8.5,77.25,Vilavancode,Tamil Nadu,11.65,1.77,1.4,2.38,8.18,2.33,3.1,1.18,2.73,11.28,20.44,3.8
8.5,77.5,Nanguneri,Tamil Nadu,5.14,0.04,0.75,0.01,3.22,0.01,0.04,1.94,0.85,6.91,13.41,3.67
8.5,77.75,Nanguneri,Tamil Nadu,7.73,0.0,1.12,0.88,1.62,1.07,0.51,0.19,0.82,8.44,13.58,0.91
8.5,78.0,Tiruchendur,Tamil Nadu,7.47,0.0,0.71,0.36,2.4,0.31,0.21,0.04,0.16,3.71,17.16,1.41
8.75,76.5,Unknown,Unknown,2.37,0.21,2.5,1.96,23.79,4.92,7.39,7.27,8.96,17.06,10.51,0.23
8.75,76.75,Varkala,Kerala,2.95,0.31,2.9,5.08,27.82,7.37,7.77,7.73,8.65,21.21,16.7,1.59
8.75,77.0,Nedumangad,Kerala,2.67,0.17,2.3,2.89,19.91,6.66,5.79,5.68,6.28,17.43,17.53,3.54
8.75,77.25,Ambasamudram,Tamil Nadu,14.44,1.78,0.65,1.04,3.59,0.14,1.82,0.38,0.59,8.35,16.98,3.05
8.75,77.5,Cheranmahadevi,Tamil Nadu,7.07,0.59,0.55,1.25,2.1,0.68,0.86,0.26,1.01,5.92,16.76,2.44
8.75,77.75,Palayamkottai,Tamil Nadu,6.15,0.0,0.57,0.6,0.89,0.58,0.08,0.56,0.62,7.91,15.29,0.76
8.75,78.0,Thoothukkudi,Tamil Nadu,7.77,0.0,0.89,0.15,0.84,1.79,1.23,0.78,1.15,8.05,16.13,0.68
9.0,76.5,Unknown,Unknown,2.46,0.11,2.41,3.5,24.01,8.14,9.7,10.51,11.22,15.04,14.66,0.58
9.0,76.75,Kottarakkara,Kerala,4.4,0.71,4.69,8.83,30.99,10.89,10.09,10.56,11.83,26.13,21.67,2.65
9.0,77.0,Punalur,Kerala,2.62,0.16,1.75,0.67,16.73,10.74,9.05,9.56,12.22,22.16,27.2,8.72
9.0,77.25,Shenkottai,Tamil Nadu,3.72,0.46,3.2,0.65,5.44,1.04,2.45,1.94,1.42,7.76,12.27,6.01
9.0,77.5,Veerakeralamputhur,Tamil Nadu,2.79,0.04,0.58,2.56,3.42,1.03,1.97,0.95,1.31,6.04,11.71,1.38
9.0,77.75,Kovilpatti,Tamil Nadu,4.28,0.0,0.0,2.16,0.67,0.99,0.66,0.58,1.24,4.29,12.03,0.62
9.0,78.0,Ottapidaram,Tamil Nadu,5.12,0.27,0.29,1.2,1.59,0.95,0.28,0.45,1.02,4.12,12.85,0.6
9.25,76.25,Unknown,Unknown,2.09,0.04,1.73,3.36,19.41,7.77,9.68,9.91,8.89,12.48,12.22,0.5
9.25,76.5,Karthikappally,Kerala,4.21,0.22,1.9,4.45,24.1,9.91,15.6,13.1,11.34,16.4,18.38,0.68
9.25,76.75,Unknown,Kerala,7.56,0.96,5.31,12.65,29.41,14.29,13.96,14.85,12.5,32.77,26.6,1.85
9.25,77.0,Konni,Kerala,3.78,1.27,2.39,0.43,7.23,3.94,4.02,4.21,4.5,11.38,17.44,6.19
9.25,77.25,Konni,Kerala,5.18,1.94,2.71,0.25,2.59,0.52,0.88,1.58,0.34,5.46,12.82,3.79
9.25,77.5,Sankarankoil,Tamil Nadu,3.79,0.07,1.31,0.84,3.95,0.81,1.39,1.1,0.61,5.35,12.74,3.14
9.25,77.75,Sankarankoil,Tamil Nadu,3.5,0.03,0.03,4.67,2.1,1.35,1.04,1.24,2.05,3.45,12.61,2.21
9.25,78.0,Ettayapuram,Tamil Nadu,5.04,0.63,0.66,0.41,2.91,1.38,0.17,0.89,0.81,4.04,11.54,0.86
9.25,78.25,Vilathikulam,Tamil Nadu,8.53,0.0,0.0,0.39,2.94,1.26,0.38,1.29,1.64,4.7,9.64,0.6
9.25,78.5,Kadaladi,Tamil Nadu,6.07,0.0,0.0,1.76,2.33,0.31,0.18,0.27,0.56,2.53,4.23,0.46
9.25,78.75,Ramanathapuram,Tamil Nadu,8.87,0.06,0.01,0.67,1.3,0.1,0.54,0.72,1.48,6.5,9.95,1.14
9.25,79.25,Unknown,Unknown,10.26,0.51,0.08,0.43,0.78,0.42,0.04,0.5,0.29,9.07,17.83,2.22
9.5,76.25,Unknown,Unknown,2.74,0.01,2.01,3.11,22.85,10.48,13.64,13.21,11.04,13.87,16.55,0.65
9.5,76.5,Kuttanad,Kerala,4.77,0.21,2.67,7.74,26.91,14.46,19.07,14.22,12.59,22.13,21.11,2.24
9.5,76.75,Changanassery,Kerala,2.73,0.12,2.47,6.27,26.84,24.48,23.49,15.07,15.22,31.76,20.65,3.48
9.5,77.0,Peerumade,Kerala,4.83,0.71,1.6,4.98,18.26,17.38,18.9,11.28,10.28,22.77,16.83,3.76
9.5,77.25,Peerumade,Kerala,5.2,1.07,1.82,0.58,2.58,0.8,1.66,2.01,0.55,4.68,11.93,3.66
9.5,77.5,Rajapalayam,Tamil Nadu,3.32,0.0,1.05,1.41,2.72,1.39,3.42,0.4,0.94,4.96,14.3,6.53
9.5,77.75,Sivakasi,Tamil Nadu,3.18,0.03,0.52,4.64,2.56,0.84,1.17,2.43,2.3,2.95,11.17,1.96
9.5,78.0,Virudhunagar,Tamil Nadu,3.68,0.0,0.03,3.0,1.31,0.72,0.27,1.95,2.84,4.13,12.48,0.89
9.5,78.25,Tiruchuli,Tamil Nadu,5.85,0.0,0.01,0.76,1.7,2.52,1.28,1.2,2.42,6.29,12.78,0.59
9.5,78.5,Mudukulathur,Tamil Nadu,6.62,0.0,0.0,0.72,1.37,3.85,1.99,1.76,3.9,7.95,12.67,0.58
9.5,78.75,Paramakudi,Tamil Nadu,8.91,0.0,0.0,0.47,1.47,0.34,0.9,1.09,2.99,8.73,13.07,1.94
9.5,79.0,Ramnathapuram,Tamil Nadu,9.78,0.43,0.07,0.67,0.94,0.45,0.22,0.54,1.28,8.76,16.89,2.42
9.5,79.25,Outside India,Outside India,10.05,0.49,0.08,0.59,0.8,0.45,0.11,0.55,0.84,9.0,17.12,2.25
9.75,76.25,Unknown,Unknown,4.85,0.0,0.99,5.9,26.65,21.58,24.09,27.08,20.43,15.83,15.75,2.37
9.75,76.5,Vaikom,Kerala,7.61,0.23,3.26,6.97,20.62,17.2,18.95,15.21,10.49,18.66,15.59,1.82
9.75,76.75,Meenachil,Kerala,2.14,0.14,1.37,5.11,19.85,23.9,25.85,17.15,13.71,25.69,16.96,2.39
9.75,77.0,Peerumade,Kerala,7.46,1.05,1.03,6.55,15.4,11.81,17.73,10.66,7.53,17.8,16.09,3.8
9.75,77.25,Uthamapalayam,Tamil Nadu,5.03,0.45,1.13,4.23,9.3,4.06,8.13,3.86,2.78,9.35,13.45,4.67
9.75,77.5,Andipatti,Tamil Nadu,3.27,0.0,0.35,1.04,3.54,2.33,4.66,1.74,2.09,4.7,10.36,2.67
9.75,77.75,Peraiyur,Tamil Nadu,2.86,0.03,0.14,2.33,2.11,2.1,3.18,2.37,4.2,4.3,10.32,1.57
9.75,78.0,Thirumangalam,Tamil Nadu,4.5,0.33,0.02,2.37,2.02,2.03,1.58,0.77,3.98,7.76,14.42,0.81
9.75,78.25,Tiruchuli,Tamil Nadu,4.8,0.09,0.26,1.86,1.78,2.13,1.35,0.68,4.3,10.01,9.86,0.86
9.75,78.5,Sivaganga,Tamil Nadu,6.06,0.0,0.12,0.7,1.67,1.78,1.87,1.16,4.56,8.17,11.39,1.12
9.75,78.75,Tiruvadanai,Tamil Nadu,8.65,0.0,0.02,0.74,1.85,0.6,0.42,2.36,7.44,9.54,12.5,1.57
10.0,76.0,Outside India,Outside India,3.95,0.05,1.45,2.93,20.8,16.53,20.42,13.53,10.89,16.75,13.24,0.86
10.0,76.25,Kanayannur,Kerala,4.56,0.0,2.98,3.14,22.75,15.2,21.82,14.73,10.78,17.8,13.13,0.56
10.0,76.5,Kunnathunad,Kerala,5.06,0.52,3.27,7.1,21.18,17.64,21.22,15.46,9.94,23.39,16.34,0.98
