Latitude,Longitude,District,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
12.75,78.25,Gudupalle,Andhra Pradesh,0.26,0,1.8,2.52,6.34,1.62,0.88,8.59,11.6,9.12,0.97,2.54
12.75,78.5,Kuppam,Andhra Pradesh,0.07,0,0.15,0.08,4.12,1.25,0.84,9.81,9.62,9.02,1.12,2.6
13,78.5,Venkatagirikota,Andhra Pradesh,0.19,0,0.1,0.25,3.93,2.51,1.09,8.55,8.38,9.99,0.99,1.43
13.25,78.75,Gangavaram,Andhra Pradesh,0.24,0,0.4,0.35,1.92,4.73,3.76,10.74,9.82,14.98,2.6,1.44
13.25,79,Thavanampalle,Andhra Pradesh,0.34,0,0.57,0.24,1.79,6.44,5.8,12.46,12.86,16.2,3.82,1.9
13.25,79.25,Gangadhara Nellore,Andhra Pradesh,0.53,0,0.55,0,1.2,3.19,2.85,6.33,7.73,7.63,2.72,1.53
13.25,79.75,Vijayapuram,Andhra Pradesh,0.06,0,0.06,0,0.2,1.54,3.29,5.81,1.49,7.71,10.51,1.62
13.5,78.5,Madanapalle,Andhra Pradesh,0.65,0,2,0.35,1.94,3.42,2.89,5.05,5.65,11.49,1.39,0.56
13.5,78.75,Somala,Andhra Pradesh,0.1,0,0.49,0.25,1.83,3.56,3.25,9.81,6.81,9.34,2.06,0.91
13.5,79,Pakala,Andhra Pradesh,0.08,0,0.59,0.32,2.24,3.27,4.05,10.62,6.34,9.13,2.25,0.82
13.5,79.25,Ramachandrapuram,Andhra Pradesh,0.15,0,0.27,0.07,1.06,2.35,2.38,5.09,6.96,6.94,5.14,0.53
13.5,79.5,Vadamalapeta,Andhra Pradesh,0.17,0,0.26,0,1.45,2.22,2.49,6.24,5.04,8.92,7.65,1.53
13.5,79.75,Kumara Venkata Bhupalapuram,Andhra Pradesh,0.2,0,0.62,0,1.04,2.69,5.31,6.68,4.44,8.27,12.09,0.91
13.5,80,Satyavedu,Andhra Pradesh,0.09,0,0.16,0,0.55,2.92,4.02,8.17,3.87,9.49,16.31,1.35
13.5,80.25,Tada,Andhra Pradesh,0.07,0,0,0,0.44,2.98,3.27,9.62,3.82,10.29,16.88,1.67
13.75,77,Agali,Andhra Pradesh,0.03,0,0.44,0.65,2.79,1.12,0.77,3.12,8.42,7.47,0.47,0.01
