.,Longitude,District,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
8.25,77,Kanyakumari,Tamil Nadu,0,0.03,0.32,1.22,6.07,7.09,1.99,2.95,7.2,3.91,2.97,0.29
8.25,77.25,Kalkulam,Tamil Nadu,0,0.27,0.32,2.53,3.67,3.73,2.53,2.58,5.93,4.13,4.49,1.14
8.25,77.5,Thovalai,Tamil Nadu,0,0.46,0.01,0,1.01,0.47,0.38,2.73,1.65,1.85,5.66,1.76
8.25,77.75,Radhapuram,Tamil Nadu,0.01,0.81,0,0.23,0.67,0.41,0.2,1.05,0.77,0.9,8.1,2.58
8.5,76.75,Kanyakumari,Tamil Nadu,2.69,0.03,0.83,5.28,14.78,12.49,4.94,6.51,16.43,6.95,3.59,1.83
8.5,77,Thiruvananthapuram,Kerala,0.09,0.05,0.41,4.11,10.22,8.44,2.69,3.43,9.95,3.71,3.35,0.88
8.5,77.25,Vilavancode,Tamil Nadu,0.41,0.17,0.45,2.84,5.51,2.86,1.98,2.8,5.17,3.75,6.44,3.23
8.5,77.5,Nanguneri,Tamil Nadu,0.09,0.35,0,0.61,0.89,0,0.98,0.95,1.16,0.65,7.42,1.62
8.5,77.75,Nanguneri,Tamil Nadu,0.01,1.13,0,0.4,0.37,0.55,0.01,0.08,0.39,0.41,9.53,2.49
8.5,78,Tiruchendur,Tamil Nadu,0.01,0.74,0,0.05,0.6,0.04,0,0.01,0.06,0.21,10.77,4.97
8.75,76.5,Unknown,Unknown,0.97,0.48,0.92,2.17,9.91,10.95,6.04,11.4,12.84,7.86,2.97,0.6
8.75,76.75,Varkala,Kerala,0.77,0.5,1.87,3.29,14.54,10.44,7.17,8.51,12.75,7.12,4.51,0.86
8.75,77,Nedumangad,Kerala,0.28,0,2.55,3.19,11.41,7.05,5.86,7.29,8.4,6.46,5.92,1.75
8.75,77.25,Ambasamudram,Tamil Nadu,0.9,0.28,0.07,1.31,1.21,0.11,0.21,2.64,1.01,2.26,8.14,4.03
8.75,77.5,Cheranmahadevi,Tamil Nadu,0.22,0.09,0,1.31,1.67,0.42,1.11,1.15,0.58,0.64,9.34,4.72
8.75,77.75,Palayamkottai,Tamil Nadu,0.11,0.16,0,0.28,0.55,0.13,0.69,0.55,0.97,0.18,10.22,5.29
8.75,78,Thoothukkudi,Tamil Nadu,0.29,0.78,0,0.69,0.44,0,0.02,0.03,0.07,0.39,13.57,6.22
9,76.5,Unknown,Unknown,0.06,0.19,2.05,3.22,13.77,11.77,8.65,10.79,16.69,7.61,3.49,1.27
9,76.75,Kottarakkara,Kerala,0.35,1.29,1.9,2.71,14.03,9.78,9.87,9.72,13.66,6,5.43,1.97
9,77,Punalur,Kerala,0.19,0,2.73,2.76,4.95,8.56,10.96,13.36,8.63,10.7,5.07,2.33
9,77.25,Shenkottai,Tamil Nadu,0.18,0,1.79,2.56,2.97,0.26,1.76,2.88,1.3,1.96,6.99,4.43
9,77.5,Veerakeralamputhur,Tamil Nadu,0.14,0,0.04,0.48,0.91,0.13,0.98,0.36,1.19,1.27,8.13,4.75
9,77.75,Kovilpatti,Tamil Nadu,0.04,0,0,0.35,1.01,0.99,1.66,0.11,2.6,2.04,10.02,4.14
9,78,Ottapidaram,Tamil Nadu,0.19,0.02,0,0.14,0.5,0.48,0.95,0.08,1.5,2.3,9.29,4.47
9.25,76.25,Unknown,Unknown,0.02,0.01,1.04,1.91,10.13,13.8,9.59,13.48,24.16,6.2,2.87,0.8
9.25,76.5,Karthikappally,Kerala,0.08,0,1.65,3.03,12.84,13.1,10.53,11.37,21.25,8.77,5.17,2.2
9.25,76.75,Unknown,Kerala,0.44,0.1,5.18,6.83,18.16,14.6,14.63,10.07,20.08,7.58,5.3,2.38
9.25,77,Konni,Kerala,0.71,0.01,1.83,2.7,3.09,2.95,4.53,6.6,3.58,5.84,6.7,3.34
9.25,77.25,Konni,Kerala,1.28,0.02,1,2.94,1.81,0.1,1.46,2.16,1.18,4.85,8.43,3.63
9.25,77.5,Sankarankoil,Tamil Nadu,0.25,0,0.08,1.02,3.36,0.39,1.77,1.32,1.98,3.78,8.36,3.68
9.25,77.75,Sankarankoil,Tamil Nadu,0.07,0,0,1.88,1.8,0.71,2.67,1.28,3.13,1.94,8.7,3.8
9.25,78,Ettayapuram,Tamil Nadu,0.45,0.04,0,0.07,0.36,0.35,0.88,0.3,1.37,3.39,7.75,5.13
9.25,78.25,Vilathikulam,Tamil Nadu,0.52,0,0,0.11,1.08,1.92,0.44,0.96,1.17,3.06,5.79,4.62
9.25,78.5,Kadaladi,Tamil Nadu,0.14,1.31,0,0.92,0.46,1.05,0.38,0.23,1.04,2.11,5.37,5.19
9.25,78.75,Ramanathapuram,Tamil Nadu,0.3,0.72,0,1.43,0.44,0.96,0.9,0.41,1.21,1.59,6.54,8.91
9.25,79.25,Unknown,Unknown,0.55,0.67,0,0.86,1.77,1.64,0.21,2.35,1.81,4.53,4.36,15.33
9.5,76.25,Unknown,Unknown,0,0.23,2.37,4.7,12.9,16.38,12.84,11.47,22.37,10.23,3.25,1.98
9.5,76.5,Kuttanad,Kerala,0.12,0.01,2.79,8,12.84,14.58,17.89,14.52,18.82,8.44,4.87,2.83
9.5,76.75,Changanassery,Kerala,0.08,0.01,3.57,6.69,9.15,18.51,23.32,26.97,25.92,13.2,5.38,2.62
9.5,77,Peerumade,Kerala,0.36,0,2.17,4.22,4.61,11.45,17.88,25.39,21.38,11.17,7.92,2.22
9.5,77.25,Peerumade,Kerala,1.2,0.01,0.52,2.04,1.81,0.28,2,2.59,1.42,5.53,10.54,3.41
9.5,77.5,Rajapalayam,Tamil Nadu,0.17,0,0,0.51,6.17,0.43,1.72,2.86,1.82,4.53,11.47,2.93
9.5,77.75,Sivakasi,Tamil Nadu,0.03,0,0,0.95,2.8,0.84,3.16,1,2.23,2.93,9.36,3.3
9.5,78,Virudhunagar,Tamil Nadu,0,0,0,0.97,0.94,0.76,4.22,0.49,3.36,4.08,6.95,3.81
9.5,78.25,Tiruchuli,Tamil Nadu,0.01,0,0,0.44,2.2,1.4,1.15,1.35,5.2,4.44,6.92,6.39
9.5,78.5,Mudukulathur,Tamil Nadu,0.05,0.04,0,0.94,1.58,1.8,1.47,2.16,6.58,3.25,8.81,8.12
9.5,78.75,Paramakudi,Tamil Nadu,0.21,0.15,0.02,2.18,0.68,1.71,1.95,0.16,1.85,1.63,7.35,8.11
9.5,79,Ramnathapuram,Tamil Nadu,0.48,0.56,0,1.19,1.89,1.74,0.58,2.03,1.88,4.09,4.9,13.99
9.5,79.25,Outside India,Outside India,0.53,0.64,0,0.98,1.87,1.62,0.34,2.34,1.84,4.24,4.53,14.53
9.75,76.25,Unknown,Unknown,0.16,0.86,1.94,6.08,11.65,30.12,22.8,19.7,20.58,10.04,3.71,1.1
9.75,76.5,Vaikom,Kerala,0.23,0.15,2.48,5.54,13.03,15.34,18.03,23.02,17.97,7.45,5.54,3.02
9.75,76.75,Meenachil,Kerala,0.03,0.02,2.16,5.99,6.66,13.27,20.13,28.31,22.19,10.42,3.71,1.49
9.75,77,Peerumade,Kerala,0.39,0,1.42,4.4,4.25,6.02,14.99,24.11,18.79,8.54,9.22,1.93
9.75,77.25,Uthamapalayam,Tamil Nadu,0.48,0,0.5,3.7,2.79,1.92,5.63,9.93,7.9,5.48,10.08,2.42
9.75,77.5,Andipatti,Tamil Nadu,0.57,0,0.02,0.57,2.65,0.84,3.19,3.63,3.38,3.32,11.1,2.99
9.75,77.75,Peraiyur,Tamil Nadu,0.13,0,0,0.23,2.89,0.77,2.78,2.87,3.96,4.1,10.65,3.66
9.75,78,Thirumangalam,Tamil Nadu,0.05,0,0,1.23,2.35,1.27,3.77,1.08,4.86,7.15,9.41,2.93
9.75,78.25,Tiruchuli,Tamil Nadu,0.1,0,0,0.68,1.76,1.57,2.74,1.71,6.94,7.68,7.8,4.84
9.75,78.5,Sivaganga,Tamil Nadu,0.02,0,0,1.08,1.45,2.76,2.4,2.25,3.77,2.68,7.13,6.68
9.75,78.75,Tiruvadanai,Tamil Nadu,0.05,0.02,0.26,2.31,2.56,1.99,4.51,0.53,3.68,2.85,6.16,9.93
10,76,Outside India,Outside India,0.66,0.93,2.95,3.13,8.52,15.08,18.23,19.09,18.22,7.41,3.88,0.85
10,76.25,Kanayannur,Kerala,0.65,0.65,1.98,3.6,7.99,13.99,18.64,20.24,18.08,7.97,4.28,1.1
10,76.5,Kunnathunad,Kerala,0.04,0.22,1.84,4.44,14.89,15.45,18.25,22.35,21.14,9.06,4.29,1.92
10,76.75,Kothamangalam,Kerala,0,0.08,1.8,4.54,7.39,12.14,18.52,28.6,22.4,8.6,3.49,1.35
10,77,Devikulam,Kerala,0.02,0,1.37,4.34,2.58,7.21,12.72,22.34,16.92,5.62,4.4,1.69
10,77.25,Udumbanchola,Kerala,0,0,0.26,4.7,0.99,0.57,2.26,1.98,3.33,2.2,6.27,2.64
10,77.5,Theni,Tamil Nadu,0,0,0.01,1.6,2.75,0.69,3.81,3,5.75,3.12,7.84,1.56
10,77.75,Usilampatti,Tamil Nadu,0,0,0.01,0.37,1.09,2.83,1.78,4.46,6.52,4.2,8.34,1.68
10,78,Madurai North,Tamil Nadu,0.08,0,0,0.09,0.68,2.49,3.8,1.85,6.04,4.58,6.1,2.5
10,78.25,Melur,Tamil Nadu,0.2,0,0,0.29,1,1.86,3.17,1.98,5.41,4.85,6.32,3.3
10,78.5,Sivaganga,Tamil Nadu,0.24,0,0,3.15,2.39,3.47,3.21,2.2,5.88,3.09,7.52,5.8
10,78.75,Karaikkudi,Tamil Nadu,0.12,0,0.02,2.83,2.18,3.83,2.97,2.48,5.01,3.36,7.39,6.49
10,79,Avudayarkoil taluk,Tamil Nadu,0,0,0,1.57,1.24,1.8,1.14,1.06,2.46,1.36,5.97,8.98
10.25,76,Unknown,Unknown,0.04,0,1.81,2.34,7.36,17.26,13.49,16.67,19.95,6.58,3.68,0.18
10.25,76.25,Chalakkudy,Kerala,0.16,0.01,1.19,2.71,6.95,15.57,14.11,19.37,20.42,7.64,4.05,0.71
10.25,76.5,Aluva,Kerala,0,0.01,1.52,4.05,4.8,13.16,17.33,23.39,18.77,5.67,3.33,1.37
10.25,76.75,Kothamangalam,Kerala,0,0,2.38,6.07,3.3,14.93,23.59,30.07,23.78,6.61,3.72,2.22
10.25,77,Valparai,Tamil Nadu,0.01,0,1.99,5.35,3.02,12.14,20.27,27.95,22.51,6.47,4.2,2.63
10.25,77.25,Devikulam,Kerala,0.07,0,1.14,1.2,2.35,2.93,6.91,3.74,5.59,1.97,6.96,6.37
10.25,77.5,Kodaikanal,Tamil Nadu,0.03,0,0.8,1.39,2.11,1.83,5.15,3.21,6.68,2.3,6.83,3.72
10.25,77.75,Athoor,Tamil Nadu,0,0,0.03,0.42,1.23,1.01,2.36,3.85,4.09,1.21,5.57,2.66
10.25,78,Dindigul,Tamil Nadu,0.13,0,0,1.21,1.72,3.46,6.32,5.88,6.21,2.93,4.98,2.32
10.25,78.25,Natham,Tamil Nadu,0.15,0,0,0.74,1.25,2.08,4.73,3.25,6.39,4.02,5.66,4.65
10.25,78.5,Ponnamaravathi taluk,Tamil Nadu,0.27,0,0.01,2.71,2.4,2.23,5.31,2.95,7.25,4.66,5.72,5.72
10.25,78.75,Thirumayam taluk,Tamil Nadu,0,0,0,0.05,0.92,1.94,6.01,3.4,5.41,6.54,7.01,6.04
10.25,79,Aranthangi taluk,Tamil Nadu,0.08,0,0,0.09,3.17,0.49,1.46,0.53,2.64,2.13,4.88,14.05
10.25,79.25,Peravurani,Tamil Nadu,0.45,0.01,0.03,1.24,1.1,1.23,3.5,0.29,3.09,1.45,6.64,11.59
10.5,76,Pālghāt,Kerala,0,0,0.77,2.62,2.64,12.67,16.85,16.65,17.64,8.1,1.27,0.42
10.5,76.25,Thrissur,Kerala,0,0,1.45,5.65,3.93,15.66,16.06,16.55,19.55,6.77,2.57,0.2
10.5,76.5,Alathur,Kerala,0,0,0.52,2.99,1.11,7.27,9.92,17.24,11.43,3.44,1.78,0.68
10.5,76.75,Chittur,Kerala,0,0,2.07,4.25,2.15,9.29,14.53,19.75,15.04,3.91,3.22,1.97
10.5,77,Valparai,Tamil Nadu,0.02,0,0.96,2.53,1.47,3.1,6.28,6.82,6.48,1.77,6.65,2.62
10.5,77.25,Udumalaipettai,Tamil Nadu,0.01,0,0.05,0.5,2.23,0.88,1.92,0.84,2.08,0.91,7.81,5.33
10.5,77.5,Palani,Tamil Nadu,0.03,0,0,0.63,2.71,1.9,3.78,1.77,3.74,1.85,10.79,6.7
10.5,77.75,Oddanchatram,Tamil Nadu,0.08,0,0,1.28,2.89,3.38,7.45,4.4,6.92,3.39,6.82,4.28
10.5,78,Vedasandur,Tamil Nadu,0.01,0,0,0.5,0.94,1.66,2.43,2.65,5.11,3.01,2.64,3.49
10.5,78.25,Manapparai,Tamil Nadu,0.01,0,0,0.61,1.33,1.87,4.78,3.97,7.63,3.79,4.14,4.71
10.5,78.5,Iluppur taluk,Tamil Nadu,0,0,0,0.84,0.57,1.66,5.18,2.64,5.29,4.21,2.7,5.78
10.5,78.75,Kulathur taluk,Tamil Nadu,0,0,0,0.04,1.24,2.23,10.12,2.83,2.45,6.92,4.36,6.78
10.5,79,Pudukkottai taluk,Tamil Nadu,0.21,0,0,0.01,0.69,0.94,3.09,1.4,1.42,2.5,4.03,10.44
10.5,79.25,Pattukkottai,Tamil Nadu,0.94,0,0,0,4.78,0.99,4.45,0.9,4.61,1.74,7.47,14.59
10.5,79.5,Mannargudi,Tamil Nadu,0.95,0,0,0,3.2,0.62,8.28,1.23,5.41,1.07,8.61,21.28
10.5,79.75,Vedaranyam,Tamil Nadu,1.12,0,0,0.04,0.69,0.68,5.61,0.65,4.85,1.31,8.16,20.86
10.75,75.75,Unknown,Unknown,0,0,0.46,1.12,5.22,20.74,19.49,13.91,17.33,4.39,1.22,0.98
10.75,76,Ponnani,Kerala,0,0,0.62,1.39,2.08,12.52,13.72,15.15,18.59,6.23,0.41,0.34
10.75,76.25,Ottappalam,Kerala,0,0,1.57,3.6,3.93,20.17,22.32,23.78,21.12,8.99,0.76,0.69
10.75,76.5,Alathur,Kerala,0,0,1.51,1.48,0.99,6.63,15.44,21.79,14.37,4.8,2.22,0.96
10.75,76.75,Palakkad,Kerala,0,0,1.89,2.61,0.72,2.86,6.2,8.97,7.38,2.09,2.6,1.94
10.75,77,Pollachi,Tamil Nadu,0.01,0,1.17,1.98,1.06,0.64,2.62,2.53,3.3,0.73,6.17,2.29
10.75,77.25,Madathukulam,Tamil Nadu,0.01,0,0,1.25,1.44,0.3,2.99,0.97,3.12,0.88,11.57,2.16
10.75,77.5,Dharapuram,Tamil Nadu,0,0,0,1.01,1.57,0.53,4.22,1.1,3.9,0.86,10.98,1.98
10.75,77.75,Dharapuram,Tamil Nadu,0,0,0.03,1.35,0.82,0.66,3.9,2.1,4.97,1.47,7.7,2.82
10.75,78,Vedasandur,Tamil Nadu,0,0,0.01,1.39,0.14,3.49,1.62,3.72,4.61,3.85,3.71,2.47
10.75,78.25,Kadavur,Tamil Nadu,0.03,0,0,0.25,0.04,0.5,2.26,3.01,6.99,1.12,1.69,2.17
10.75,78.5,Kulithalai,Tamil Nadu,0.28,0,0.05,1.95,0.58,2.39,3.81,4.1,6.05,2.53,2.92,4.05
10.75,78.75,Thiruverumbur,Tamil Nadu,0.73,0,0,0.53,0.72,1.95,3.82,3.24,2.53,4.26,4.07,7.15
10.75,79,Thanjavur,Tamil Nadu,1.04,0.01,0,0,1.21,0.94,4.61,2.48,3.67,5.83,4.46,8.88
10.75,79.25,Papanasam,Tamil Nadu,1.48,0,0,0,0.96,0.46,6.41,1.77,5.33,2.92,6.63,14.81
10.75,79.5,Kudavasal,Tamil Nadu,0.99,0,0,0.01,1.23,0.59,5.08,1.3,4.33,1.24,8.61,17.19
10.75,79.75,Kilvelur,Tamil Nadu,0.39,0.01,0,0.17,1.01,1.21,6.63,1.91,4.05,1.13,8.87,22.87
11,75.75,Unknown,Unknown,0.39,0.94,1.11,4.61,6.86,16.54,17.77,18.73,18.53,6.52,4.39,0.74
11,76,Ernad,Kerala,0,0,0.54,5.66,1.54,12.69,14.49,15.8,20.49,5.01,1.18,0.27
11,76.25,Perinthalmanna,Kerala,0,0,0.12,4.27,1.94,10.8,20.4,17.4,18.74,7.28,1.04,0.09
11,76.5,Mannarkad,Kerala,0,0,0.56,2.85,1.57,7.61,16.2,16.59,14.65,5.52,1.79,0.66
11,76.75,Coimbatore South,Tamil Nadu,0,0,0.87,2.78,1.82,0.48,4,1.31,2.75,0.94,5.73,1.64
11,77,Coimbatore North,Tamil Nadu,0,0,0.17,1.06,1.83,0.15,2.35,1.07,4.52,0.53,7.08,0.91
11,77.25,Palladam,Tamil Nadu,0,0,0.44,2.48,1,1.36,5.79,0.77,5.73,1.18,7.87,1.09
11,77.5,Kangeyam,Tamil Nadu,0,0,0.09,2.02,1.43,1.36,4.76,1.54,6.03,1.29,8.05,2.15
11,77.75,Kangeyam,Tamil Nadu,0.02,0,0,0.34,1.5,5.17,5.09,1.47,5.43,1.71,4.71,2.51
11,78,Aravakurichi,Tamil Nadu,0,0,0.12,1.06,0.26,3.99,3.93,1.93,4.37,2.43,4.94,1.83
11,78.25,Thottiyam,Tamil Nadu,0,0,0.06,0.55,0.35,0.45,1.04,3.33,7.02,1.44,3.49,2.36
11,78.5,Musiri,Tamil Nadu,0.26,0,0,2.33,0.41,1.66,3.9,2.28,4.99,2.55,3.1,4.13
11,78.75,Manachanallur,Tamil Nadu,0.51,0,0,0.95,0.12,3.49,3.99,5.07,3.04,2.4,2.79,6.49
11,79,Ariyalur,Tamil Nadu,1.07,0.09,0.02,0.03,1.17,1.12,2.3,4.12,3.23,4.33,11.05,9.47
11,79.25,Ariyalur,Tamil Nadu,0.65,0,0,0,2.52,0.1,4.99,3.68,2.46,2.43,5.92,14.4
11,79.5,Thiruvidaimarudur,Tamil Nadu,0.52,0,0,0,0.9,0.21,5.69,1.84,3.24,3.32,9.17,20.05
11,79.75,Thirunallar Taluk,Puducherry,0.23,0.01,0,0.04,0.87,0.81,5.94,2.2,3.31,2.13,9.04,20.95
11.25,75.75,Unknown,Unknown,0.15,0.35,0.42,3.6,5.15,21.3,19.06,17.41,21.98,6.58,4.32,1.02
11.25,76,Ernad,Kerala,0.05,0.11,0.32,2.37,2.46,13.49,12.38,17.38,16.2,2.58,1.93,0.94
11.25,76.25,Nilambur,Kerala,0.05,0,0.26,1.58,1.97,13.18,14.85,29.12,20.63,3.1,2.45,1.29
11.25,76.5,Kundah,Tamil Nadu,0.8,0.03,0.51,1.61,2.24,1.91,5.95,8.74,5.84,3.03,8.54,3.96
11.25,76.75,Mettupalayam,Tamil Nadu,0.38,0.01,0.82,2.13,1.86,0.91,3.21,1.22,2.93,1.23,9.48,2.08
11.25,77,Mettupalayam,Tamil Nadu,0,0,0.06,3.69,1.86,10.74,28,34.55,24.6,8.4,2.66,3.89
11.25,77.25,Avanashi,Tamil Nadu,0,0,0.38,1.39,1.43,1.39,4.79,0.57,4.35,2.75,7.11,0.81
11.25,77.5,Perundurai,Tamil Nadu,0,0,0,0.35,1.31,0.75,4.42,0.45,3.37,4.4,2.01,0.84
11.25,77.75,Modakkurichi,Tamil Nadu,0,0,0,0.44,2.14,2.67,5.24,1.67,3.89,1.72,3.8,1.86
11.25,78,Paramathi-Velur,Tamil Nadu,0,0,0,0.52,0.9,1.36,5.14,2.79,5.74,3.21,2.88,2.54
11.25,78.25,Sendamangalam,Tamil Nadu,0.01,0,0.09,0.83,0.71,0.89,2.91,3.22,6.36,2.47,2.55,3.03
11.25,78.5,Thuraiyur,Tamil Nadu,0.05,0,0,2.21,0.96,1.57,3.16,4.33,3.56,2.96,3.2,4.63
11.25,78.75,Perambalur,Tamil Nadu,0.15,0,0,4.05,0.12,1.7,2.15,5.91,2.95,3.43,5.35,8.07
11.25,79,Kunnam,Tamil Nadu,0.41,0,0,0.07,0.65,2.66,8.19,5.39,3.32,2.75,4.47,10.68
11.25,79.25,Sendurai,Tamil Nadu,0.33,0.01,0,0,0.99,0.4,8.84,1.78,2.94,5.35,6.05,14.39
11.25,79.5,Kattumannarkoil,Tamil Nadu,0.58,0,0,0,0,0.07,5.27,1.69,3.28,3.23,11.92,23.91
11.25,79.75,Sirkali,Tamil Nadu,0.45,0.03,0,0.01,0.21,0.16,4.82,1.48,2.83,3.14,10.41,20.39
11.5,75.5,Unknown,Unknown,0,0.01,0.11,3.34,6.44,38.73,25.73,22.83,28.53,7.04,2.68,1.73
11.5,75.75,Koyilandi,Kerala,0,0,0.06,3.4,3.94,22.3,22.43,28.47,26.56,5.38,3.47,1.21
11.5,76,Thamarassery,Kerala,0.04,0,0.9,4.53,3.85,11.89,17.11,28.34,20.95,4.37,3.56,0.95
11.5,76.25,Nilambur,Kerala,0.1,0,0.55,0.9,1.99,20.95,28.3,60.47,41.09,4.56,2.19,1.23
11.5,76.5,Gudalur,Tamil Nadu,0.17,0,0.35,1.6,2.29,3.56,7.5,16.94,8.03,3.62,4.86,2.73
11.5,76.75,Udhagamandalam,Tamil Nadu,0.83,0.01,0.83,1.17,2.1,1.71,3.87,5.11,6.22,2.34,10.26,4.61
11.5,77,Sathyamangalam,Tamil Nadu,0,0,0.26,0.47,1.72,1.92,6.02,4.02,5.48,3.01,1.95,1.62
11.5,77.25,Sathyamangalam,Tamil Nadu,0,0,1.42,0,2.22,1.27,6.15,0.52,2.65,5.53,6.44,1.87
11.5,77.5,Gobichettipalayam,Tamil Nadu,0,0,0,0.42,1.9,0.94,3.58,0.62,3.1,2.89,2.59,1.12
11.5,77.75,Sankari,Tamil Nadu,0,0,0,0.61,2.45,0.92,5.24,1.48,3.05,2.33,3,1.52
11.5,78,Tiruchengode,Tamil Nadu,0,0,0,0.91,0.38,0.67,3.9,2.71,5.51,4.46,3.78,2
11.5,78.25,Rasipuram,Tamil Nadu,0.15,0,0,2.56,1.48,1.39,6.94,2.54,3.78,4.62,5.77,4.15
11.5,78.5,Attur,Tamil Nadu,0.05,0,0,3.54,1.24,1.3,7.69,3.61,5.35,5.8,5.42,3.77
11.5,78.75,Gangavalli,Tamil Nadu,0.47,0,0,0.73,0.07,0.48,2.07,3.06,5.07,3.9,7.12,9.2
11.5,79,Veppur,Tamil Nadu,1,0,0,0,0.23,0.93,2.68,2.82,4.67,4.98,6.89,11.78
11.5,79.25,Virudhachalam,Tamil Nadu,1.07,0.05,0,0,0.32,0.94,3.91,2.7,4.33,6.06,6.3,14.6
11.5,79.5,Bhuvanagiri,Tamil Nadu,1.07,0.14,0,0.05,0.75,0.25,3.55,1.27,3.09,5.25,14.96,22.8
11.5,79.75,Bhuvanagiri,Tamil Nadu,1.21,0.13,0,0.09,0.88,0.47,3.35,1.42,2.31,5.74,17.25,22.14
11.75,75.25,Unknown,Unknown,0,0.03,0.04,2.18,5.63,38.06,31.13,25.14,24.21,10.87,1.62,1.72
11.75,75.5,Thalassery,Kerala,0,0.06,0.14,2.56,4.95,37.9,28.41,26.17,27.59,8.75,1.52,1.88
11.75,75.75,Vadakara,Kerala,0.08,0,0.24,3.37,3.4,10.18,15.36,29.85,14.57,3.91,1.45,1.2
11.75,76,Mananthavady,Kerala,0.1,0,0.75,5.33,4.81,5.8,10.76,17.86,12.48,3.42,3,0.92
11.75,76.25,Sulthanbathery,Kerala,0.08,0,0.8,4.96,4.57,4.24,8.6,14.9,10.44,2.83,3.22,0.84
11.75,76.5,Gundlupet taluk,Karnataka,0.03,0,0.21,1.72,3.17,3.6,6.31,11.18,7.67,1.58,4.5,0.88
11.75,76.75,Gundlupet taluk,Karnataka,0.08,0,0.22,1.06,3.16,2.32,2.52,1.47,4.88,3.69,2.14,0.65
11.75,77,Thalavadi,Tamil Nadu,0,0,0.13,0.62,2.85,1.45,2.36,0.86,4.28,3.14,1.45,0.71
11.75,77.25,Thalavadi,Tamil Nadu,0,0,0.55,0.62,1.89,1.15,6.16,0.9,4.59,4.77,3.62,1.5
11.75,77.5,Anthiyur,Tamil Nadu,0,0,0,1.72,3.03,0.74,6.13,3.19,5.95,3.89,3.23,1.46
11.75,77.75,Mettur,Tamil Nadu,0,0,0,1.8,2.68,0.93,7.14,4.49,6.77,4.41,2.8,1.54
11.75,78,Omalur,Tamil Nadu,0,0,0,1.99,1.62,2.98,12,10.86,8.97,7.59,3.29,3.33
11.75,78.25,Yercaud,Tamil Nadu,0,0,0,1.45,1.72,0.95,5.52,3.85,3.88,3.19,2.23,2.46
11.75,78.5,Attur,Tamil Nadu,0.03,0,0,1.61,0.97,0.39,2.13,2.51,2.45,2.07,2.15,1.79
11.75,78.75,Sankarapuram,Tamil Nadu,0.01,0,0,0.1,0.11,0.04,2.77,1.11,4.34,3.64,3.91,8.14
11.75,79,Kallakkurichi,Tamil Nadu,0.52,0,0,0,0.05,0.07,1.86,1.85,3.13,4.33,7.66,11.51
11.75,79.25,Ulundurpettai,Tamil Nadu,0.43,0,0,0,0.07,0.29,4.57,2.25,4.63,4.57,9.89,12.01
11.75,79.5,Panruti,Tamil Nadu,1.25,0.16,0,0.2,0.19,0.95,2.22,2.52,2.67,7.32,18.21,16.15
11.75,79.75,Cuddalore,Tamil Nadu,1.03,0.16,0.02,0.43,0.61,1,2.26,1.89,2.42,7.23,17.55,18.29
12,75,Unknown,Unknown,0,0.01,0.05,1.23,4.29,32.9,31.05,27.38,25.55,8.98,1.55,1.54
12,75.25,Kodagu,Karnataka,0,0,0.09,1.22,4.14,31.79,30.14,29.97,23.46,7.61,1.22,0.98
12,75.5,Taliparamba,Kerala,0,0.02,0.27,2.31,3.85,24.38,24.39,29.4,23.64,6.8,1.14,1.35
12,75.75,Iritty,Kerala,0.05,0,0.29,2.12,4.16,9.87,13.83,17.24,10.24,3.61,0.67,0.99
12,76,Ponnampete taluk,Karnataka,0.03,0,0.8,1.73,3.6,3.85,6.69,5.4,5.45,2.62,1.03,0.98
12,76.25,Heggadadevanakote taluk,Karnataka,0,0,0.56,1.6,4.03,2.99,7.65,8.66,8.43,1.3,1.19,1.26
12,76.5,Nanjanagudu taluk,Karnataka,0,0,0.81,1.39,4.62,2.32,4.51,4.17,5.23,3.69,1.42,0.65
12,76.75,Chamarajanagara taluk,Karnataka,0,0,0.35,2.06,4.73,3.05,3.66,1.96,5.26,4.28,2.36,0.88
12,77,Chamarajanagara taluk,Karnataka,0,0,0.11,2.01,5.31,2.21,4.1,2.7,6.42,3.72,2.76,1.49
12,77.25,Hanur taluk,Karnataka,0,0,0,1.99,2.27,1.99,6.74,1.82,6.36,5.63,2.41,1.17
12,77.5,Hanur taluk,Karnataka,0,0,0.1,2.05,1.78,1.8,7.71,2.73,5.35,4.69,3.26,2.75
12,77.75,Pennagaram,Tamil Nadu,0,0,0.14,2.63,2.56,1.59,5.27,2.77,8.7,4.2,1.81,1.66
12,78,Nallampalli,Tamil Nadu,0,0,0.18,1.17,0.92,1.54,5.35,2.8,5.07,4.28,1.82,1.48
12,78.25,Dharmapuri,Tamil Nadu,0.07,0,0,2.43,1.57,0.72,8.76,3.48,3.65,6.51,4.76,3.44
12,78.5,Harur,Tamil Nadu,0.1,0,0,1.48,0.91,0.8,4.87,1.43,1.98,4.61,3.87,2.59
12,78.75,Sankarapuram,Tamil Nadu,0.17,0,0,1.01,1.8,1.74,4.24,0.7,3.29,3.91,4.37,3.55
12,79,Sankarapuram,Tamil Nadu,0.01,0,0,0.04,0.04,0.31,1.43,2.34,2.96,6.04,6.89,9.53
12,79.25,Kandachipuram,Tamil Nadu,0.16,0,0,0,0,1.47,4.39,3.06,4.84,4.76,11.69,11.03
