.,Longitude,District,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
23.5,79.25,Rehli Tahsil,Madhya Pradesh,0.37,0,0.11,0.13,0.17,4.24,3.41,15.74,5.54,0.06,0.01,0.04
23.5,79.5,Tendukheda Tahsil,Madhya Pradesh,0.7,0,0.27,0.04,0.52,3.26,4.77,19.82,5.8,0.3,0.04,0.06
23.5,79.75,Jabera Tahsil,Madhya Pradesh,0.93,0,0.21,0.05,0.45,3.46,5.46,18.06,4.86,0.21,0.15,0.15
23.5,80,Majholi Tahsil,Madhya Pradesh,0.93,0,0.2,0.05,0.43,3.58,5.46,17.72,4.79,0.19,0.16,0.17
23.5,80.25,Dhimarkheda Tahsil,Madhya Pradesh,0.81,0.05,0.21,0.07,0.43,3.47,5.49,16.23,4.15,0.17,0.15,0.16
23.5,80.5,Dhimarkheda Tahsil,Madhya Pradesh,0.52,0.11,0.2,0.12,0.34,4.22,5.1,12.58,3.23,0.07,0.17,0.21
23.5,80.75,Bandhogarh Umaria Tahsil,Madhya Pradesh,0.38,0.56,0.83,0.14,0.76,6.73,5.9,9.86,3.66,0.59,0.1,0.14
23.5,81,Manpur Tahsil,Madhya Pradesh,0.59,0.91,1.43,0.17,1.25,8.63,7.18,10.55,4.68,1.24,0.07,0.06
23.5,81.25,Pali Tahsil,Madhya Pradesh,0.68,1.1,1.87,0.21,1.42,9.77,7.68,10.99,4.93,1.43,0.06,0
23.5,81.5,Shahdol,Madhya Pradesh,0.54,1.02,1.88,0.11,1.45,9.92,7.74,10.78,4.88,1.23,0.06,0
23.5,81.75,Jaitpur Tahsil,Madhya Pradesh,0.69,1.02,1.88,0.13,1.35,9.68,7.63,11.45,4.9,1.71,0.05,0
23.5,82,Manendragarh Tahsil,Chhattisgarh,1.14,0.79,2.03,0.24,0.89,9.23,7.75,14.82,4.31,3.32,0.1,0
23.5,82.25,Manendragarh Tahsil,Chhattisgarh,1.46,0.6,2.29,0.49,0.89,10.75,8.81,15,4.19,4.81,0.23,0.01
23.5,82.5,Sonhat Tahsil,Chhattisgarh,1.81,0.67,2.75,0.86,1.1,12.22,9.38,15.11,4.36,5.82,0.34,0.02
23.5,82.75,Oudgi Tahsil,Chhattisgarh,1.94,0.89,3.16,1.2,1.36,12.55,9.09,14.55,4.55,6.39,0.51,0.03
23.5,83,Oudgi Tahsil,Chhattisgarh,1.77,1.2,3.67,1.45,1.7,11.66,8.32,13.97,4.53,5.96,0.69,0.04
23.5,83.25,Pratappur Tahsil,Chhattisgarh,0.94,1.17,3.38,1.11,2.08,10.2,9.13,10.68,4.28,3.88,0.65,0.02
23.5,83.5,Balrampur Tahsil,Chhattisgarh,0.66,1,3.18,0.72,2.02,9.73,10.28,8.78,4.72,3.12,0.49,0.01
23.5,83.75,Samri(Kusmi) Tahsil,Chhattisgarh,0.75,0.65,3.41,0.86,2.1,8.82,11.16,8.58,4.82,3.46,0.4,0.02
23.5,84,Samri(Kusmi) Tahsil,Chhattisgarh,1.09,0.32,3.78,1.02,1.89,6.96,11.59,8.73,4.93,4.18,0.42,0.04
